dataset,doi,journal,search_term,title,dataset_used?,notes
dataset-302,10.1016/j.jecp.2019.104727,Journal of Experimental Child Psychology,Early Childhood Longitudinal Program,Longitudinal relations between verbal working memory and reading in students from diverse linguistic backgrounds,no,actually used ECLS-K:2011
dataset-302,10.1177/1476718x19873015,Journal of Early Childhood Research,Early Childhood Longitudinal Program,"A comparative analysis of the Early Childhood Environment Rating Scaleâ€“Revised and Early Childhood Environment Rating Scale, Third Edition",yes,
dataset-302,10.1037/dev0000859,Developmental Psychology,Early Childhood Longitudinal Program,Intergenerational transmission of cultural socialization and effects on young childrenâ€™s developmental competencies among Mexican-origin families.,no,actually used ECLS: Instruments and Assessments
dataset-302,10.3389/feduc.2019.00127,Frontiers in Education,Early Childhood Longitudinal Program,School Readiness Profiles and Growth in Academic Achievement,no,actually used ECLS-K:2011
dataset-302,10.1016/j.envres.2019.108925,Environmental Research,Early Childhood Longitudinal Program,"Hazardous air pollutants are associated with worse performance in reading, math, and science among US primary schoolchildren",no,actually used ECLS-K:2011
dataset-302,10.1016/j.ssresearch.2019.102364,Social Science Research,Early Childhood Longitudinal Program,"Race/ethnicity, human capital, and the selection of young children into early childhood education",yes,
dataset-302,10.1542/peds.2018-3843,Pediatrics,Early Childhood Longitudinal Program,The Reading House: A Childrenâ€™s Book for Emergent Literacy Screening During Well-Child Visits,maybe,paywall
dataset-302,10.1038/s41366-019-0331-2,International Journal of Obesity,Early Childhood Longitudinal Program,Disparities in childhood overweight and obesity by income in the United States: an epidemiological examination using three nationally representative datasets,no,actually used ECLSK
dataset-302,10.1016/j.jshs.2019.05.006,Journal of Sport and Health Science,Early Childhood Longitudinal Program,The potential of a year-round school calendar for maintaining children's weight status and fitness: Preliminary outcomes from a natural experiment,no,actually used ECLS-K:2011
dataset-302,10.1111/1460-6984.12442,International Journal of Language & Communication Disorders,Early Childhood Longitudinal Program,Association of proximal elements of social disadvantage with children's language development at 2 years: an analysis of data from the Children in Focus (CiF) sample from the ALSPAC birth cohort,yes,
dataset-302,10.1162/edfp_a_00283,Education Finance and Policy,Early Childhood Longitudinal Program,Cross-Generational Differences in Educational Outcomes in The Second Great Wave of Immigration,no,actually used ECLSK
dataset-302,10.1080/00131881.2019.1568199,Educational Research,Early Childhood Longitudinal Program,Childhood obesity and academic performance among elementary public school children,yes,
dataset-302,10.1111/desc.12699,Developmental Science,Early Childhood Longitudinal Program,Accounting for the shared environment in cognitive abilities and academic achievement with measured socioecological contexts,no,actually used ECLSK
dataset-302,10.1016/j.acap.2018.06.003,Academic Pediatrics,Early Childhood Longitudinal Program,Lower Body mass index z-score trajectory during early childhood following the birth of a younger sibling,yes,
dataset-302,10.1353/hpu.2019.0031,Journal of Health Care for the Poor and Underserved,Early Childhood Longitudinal Program,Data Opportunities for Studying the Sexual and Reproductive Health of Immigrants in the United States,yes,
dataset-302,10.1590/s1678-4634201844184081,EducaÃ§Ã£o e Pesquisa,Early Childhood Longitudinal Program,Disparities at the entrance door: gender gaps in elementary school,no,actually used ECLSK
dataset-302,10.1177/1053815118793430,Journal of Early Intervention,Early Childhood Longitudinal Program,Using Propensity Score Weighting to Reduce Selection Bias in Large-Scale Data Sets,yes,
dataset-302,10.1016/j.ecresq.2018.09.008,Early Childhood Research Quarterly,Early Childhood Longitudinal Program,Community contexts and utilization of early childhood care and education among Mexican-origin children,yes,
dataset-302,10.11606/t.45.2019.tde-11032019-213443,"Institute of Mathematics and Statistics, University of São Paulo",Early Childhood Longitudinal Program,Modelos de mistura beta mistos sob abordagem bayesiana,no,actually used ECLSK
dataset-302,10.1016/j.edurev.2017.12.001,Educational Research Review,Early Childhood Longitudinal Program,Effective universal school-based social and emotional learning programs for improving academic achievement: A systematic review and meta-analysis of 50â€¯years of research,no,actually used ECLSK
